Date,Hour,AMPM,Temp_C
5/29/2018,7:00:00,PM,17.201
5/29/2018,8:00:00,PM,15.485
5/29/2018,9:00:00,PM,14.816
5/29/2018,10:00:00,PM,14.337
5/29/2018,11:00:00,PM,13.882
5/30/2018,12:00:00,AM,13.546
5/30/2018,1:00:00,AM,13.546
5/30/2018,2:00:00,AM,13.834
5/30/2018,3:00:00,AM,14.84
5/30/2018,4:00:00,AM,14.84
5/30/2018,5:00:00,AM,14.433
5/30/2018,6:00:00,AM,13.81
5/30/2018,7:00:00,AM,11.807
5/30/2018,8:00:00,AM,11.175
5/30/2018,9:00:00,AM,13.209
5/30/2018,10:00:00,AM,15.27
5/30/2018,11:00:00,AM,15.127
5/30/2018,12:00:00,PM,14.888
5/30/2018,1:00:00,PM,14.385
5/30/2018,2:00:00,PM,14.361
5/30/2018,3:00:00,PM,14.29
5/30/2018,4:00:00,PM,14.457
5/30/2018,5:00:00,PM,14.673
5/30/2018,6:00:00,PM,15.318
5/30/2018,7:00:00,PM,15.557
5/30/2018,8:00:00,PM,15.27
5/30/2018,9:00:00,PM,14.84
5/30/2018,10:00:00,PM,14.194
5/30/2018,11:00:00,PM,13.906
5/31/2018,12:00:00,AM,13.497
5/31/2018,1:00:00,AM,13.137
5/31/2018,2:00:00,AM,13.714
5/31/2018,3:00:00,AM,13.425
5/31/2018,4:00:00,AM,13.161
5/31/2018,5:00:00,AM,12.871
5/31/2018,6:00:00,AM,12.534
5/31/2018,7:00:00,AM,12.171
5/31/2018,8:00:00,AM,11.734
5/31/2018,9:00:00,AM,14.05
5/31/2018,10:00:00,AM,15.509
5/31/2018,11:00:00,AM,16.463
5/31/2018,12:00:00,PM,15.008
5/31/2018,1:00:00,PM,14.697
5/31/2018,2:00:00,PM,14.074
5/31/2018,3:00:00,PM,13.978
5/31/2018,4:00:00,PM,13.93
5/31/2018,5:00:00,PM,14.074
5/31/2018,6:00:00,PM,14.361
5/31/2018,7:00:00,PM,15.008
5/31/2018,8:00:00,PM,15.414
5/31/2018,9:00:00,PM,14.84
5/31/2018,10:00:00,PM,14.05
5/31/2018,11:00:00,PM,13.69
6/1/2018,12:00:00,AM,13.377
6/1/2018,1:00:00,AM,13.112
6/1/2018,2:00:00,AM,13.209
6/1/2018,3:00:00,AM,13.185
6/1/2018,4:00:00,AM,13.69
6/1/2018,5:00:00,AM,14.457
6/1/2018,6:00:00,AM,14.194
6/1/2018,7:00:00,AM,13.161
6/1/2018,8:00:00,AM,12.534
6/1/2018,9:00:00,AM,17.915
6/1/2018,10:00:00,AM,24.677
6/1/2018,11:00:00,AM,21.843
6/1/2018,12:00:00,PM,21.891
6/1/2018,1:00:00,PM,15.652
6/1/2018,2:00:00,PM,12.799
6/1/2018,3:00:00,PM,12.437
6/1/2018,4:00:00,PM,12.558
6/1/2018,5:00:00,PM,12.896
6/1/2018,6:00:00,PM,13.329
6/1/2018,7:00:00,PM,14.912
6/1/2018,8:00:00,PM,15.438
6/1/2018,9:00:00,PM,14.098
6/1/2018,10:00:00,PM,13.858
6/1/2018,11:00:00,PM,12.703
6/2/2018,12:00:00,AM,12.195
6/2/2018,1:00:00,AM,12.001
6/2/2018,2:00:00,AM,11.977
6/2/2018,3:00:00,AM,12.799
6/2/2018,4:00:00,AM,14.745
6/2/2018,5:00:00,AM,14.697
6/2/2018,6:00:00,AM,15.557
6/2/2018,7:00:00,AM,15.557
6/2/2018,8:00:00,AM,15.963
6/2/2018,9:00:00,AM,19.246
6/2/2018,10:00:00,AM,22.25
6/2/2018,11:00:00,AM,24.339
6/2/2018,12:00:00,PM,23.809
6/2/2018,1:00:00,PM,16.558
6/2/2018,2:00:00,PM,15.079
6/2/2018,3:00:00,PM,12.122
6/2/2018,4:00:00,PM,11.929
6/2/2018,5:00:00,PM,12.896
6/2/2018,6:00:00,PM,13.954
6/2/2018,7:00:00,PM,15.891
6/2/2018,8:00:00,PM,16.32
6/2/2018,9:00:00,PM,16.082
6/2/2018,10:00:00,PM,15.629
6/2/2018,11:00:00,PM,13.449
6/3/2018,12:00:00,AM,12.678
6/3/2018,1:00:00,AM,12.122
6/3/2018,2:00:00,AM,12.171
6/3/2018,3:00:00,AM,12.654
6/3/2018,4:00:00,AM,13.137
6/3/2018,5:00:00,AM,14.649
6/3/2018,6:00:00,AM,16.01
6/3/2018,7:00:00,AM,16.106
6/3/2018,8:00:00,AM,17.819
6/3/2018,9:00:00,AM,20.603
6/3/2018,10:00:00,AM,25.04
6/3/2018,11:00:00,AM,19.27
6/3/2018,12:00:00,PM,20.579
6/3/2018,1:00:00,PM,19.603
6/3/2018,2:00:00,PM,16.272
6/3/2018,3:00:00,PM,13.786
6/3/2018,4:00:00,PM,12.751
6/3/2018,5:00:00,PM,13.329
6/3/2018,6:00:00,PM,13.57
6/3/2018,7:00:00,PM,14.481
6/3/2018,8:00:00,PM,15.055
6/3/2018,9:00:00,PM,16.01
6/3/2018,10:00:00,PM,16.32
6/3/2018,11:00:00,PM,15.342
6/4/2018,12:00:00,AM,13.81
6/4/2018,1:00:00,AM,13.401
6/4/2018,2:00:00,AM,12.968
6/4/2018,3:00:00,AM,12.847
6/4/2018,4:00:00,AM,13.209
6/4/2018,5:00:00,AM,13.978
6/4/2018,6:00:00,AM,15.318
6/4/2018,7:00:00,AM,15.414
6/4/2018,8:00:00,AM,16.082
6/4/2018,9:00:00,AM,16.272
6/4/2018,10:00:00,AM,14.529
6/4/2018,11:00:00,AM,16.582
6/4/2018,12:00:00,PM,17.225
6/4/2018,1:00:00,PM,16.915
6/4/2018,2:00:00,PM,16.177
6/4/2018,3:00:00,PM,15.581
6/4/2018,4:00:00,PM,15.008
6/4/2018,5:00:00,PM,14.601
6/4/2018,6:00:00,PM,14.218
6/4/2018,7:00:00,PM,14.074
6/4/2018,8:00:00,PM,14.194
6/4/2018,9:00:00,PM,14.074
6/4/2018,10:00:00,PM,14.649
6/4/2018,11:00:00,PM,14.601
6/5/2018,12:00:00,AM,15.031
6/5/2018,1:00:00,AM,14.29
6/5/2018,2:00:00,AM,14.002
6/5/2018,3:00:00,AM,13.594
6/5/2018,4:00:00,AM,13.401
6/5/2018,5:00:00,AM,13.353
6/5/2018,6:00:00,AM,13.497
6/5/2018,7:00:00,AM,13.57
6/5/2018,8:00:00,AM,13.257
6/5/2018,9:00:00,AM,13.762
6/5/2018,10:00:00,AM,15.055
6/5/2018,11:00:00,AM,16.296
6/5/2018,12:00:00,PM,17.177
6/5/2018,1:00:00,PM,16.487
6/5/2018,2:00:00,PM,16.654
6/5/2018,3:00:00,PM,15.724
6/5/2018,4:00:00,PM,15.414
6/5/2018,5:00:00,PM,14.505
