Family,Rep,CPS_D3,CPS_D4,CPS_D5,CPS_D6,CPS_D7
27.067,1,90,90,90,83.33333333,76.66666667
27.067,2,89.65517241,86.20689655,82.75862069,75.86206897,75.86206897
27.068,1,83.87096774,54.83870968,48.38709677,9.677419355,6.451612903
27.068,2,74.19354839,64.51612903,48.38709677,29.03225806,12.90322581
27.069,1,83.33333333,76.66666667,60,43.33333333,36.66666667
27.069,2,96.875,81.25,62.5,40.625,28.125
27.07,1,76.66666667,56.66666667,43.33333333,10,0
27.07,2,93.10344828,82.75862069,44.82758621,27.5862069,10.34482759
27.071,1,100,87.5,75,40.625,25
27.071,2,100,97.05882353,85.29411765,64.70588235,58.82352941
27.072,1,100,93.33333333,90,76.66666667,66.66666667
27.072,2,100,87.09677419,83.87096774,77.41935484,67.74193548
27.073,1,71.875,43.75,28.125,12.5,3.125
27.073,2,90.32258065,83.87096774,51.61290323,32.25806452,9.677419355
27.074,1,90.90909091,39.39393939,9.090909091,3.03030303,0
27.074,2,96.66666667,63.33333333,36.66666667,13.33333333,3.333333333
27.075,1,83.87096774,70.96774194,58.06451613,32.25806452,32.25806452
27.075,2,64.28571429,46.42857143,32.14285714,7.142857143,3.571428571
Hybrid,1,100,80.64516129,70.96774194,29.03225806,3.225806452
Hybrid,2,90.32258065,74.19354839,58.06451613,29.03225806,6.451612903
FrenchR1,1,100,100,100,96.875,96.875
FrenchR1,2,100,100,96.77419355,93.5483871,93.5483871
FrenchR2,1,100,100,100,100,100
FrenchR2,2,100,100,100,100,100
FrenchS1,1,84.84848485,81.81818182,60.60606061,12.12121212,3.03030303
FrenchS1,2,96.42857143,96.42857143,78.57142857,64.28571429,39.28571429
FrenchU1,1,90,80,70,63.33333333,43.33333333
FrenchU1,2,90,80,70,56.66666667,46.66666667
FrenchU2,1,79.31034483,75.86206897,41.37931034,20.68965517,13.79310345
FrenchU2,2,90.625,81.25,65.625,62.5,46.875
